|I1,Enfermedades infecciosas intestinales,1
|I10,Fiebres virales trasmitidas por artrópodos y fiebres virales hemorrágicas,1
|I11,Infecciones virales caracterizadas por lesiones de la piel y de las membranas mucosas,1
|I12,Hepatitis viral,1
|I13,Enfermedad por virus de la inmunodeficiencia humana (HIV),1
|I14,Otras enfermedades virales,1
|I15,Micosis,1
|I16,Enfermedades debidas a protozoarios,1
|I17,Helmintiasis,1
|I18,Pediculosis. Acariasis y otras manifestaciones,1
|I19,Secuelas de enfermedades infecciosas y parasitarias,1
|I2,Tuberculosis,2
|I20,"Bacterias, virus y otros agentes infecciosos",1
|I21,Otras enfermedades infecciosas,1
|I3,Ciertas zoonosis bacterianas,1
|I4,Otras enfermedades bacterianas,1
|I5,Infecciones con modo de transmisión predominantemente sexual,1
|I6,Otras enfermedades debidas a espiroquetas,1
|I7,Otras enfermedades causadas por clamidias,1
|I8,Rickettsiosis,1
|I9,Infecciones virales del sistema nervioso central,9
|II1,Tumores malignos de labio de la cavidad bucal y de la faringe,2
|II10,Tumores malignos de las vías urinarias,2
|II11,Tumores malignos del ojo del encéfalo y de otras partes del sistema nervioso,2
|II12,Tumores malignos de la glándula tiroides y de otras glándulas endocrinas,2
|II13,Tumores malignos de sitios mal definidos secundarios y de sitios no especificados,2
|II14,"Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines",2
|II15,Tumores malignos(primarios) de sitios múltiples independientes,2
|II16,Tumores (neoplasias) in situ,2
|II17,Tumores (neoplasias) benignos,2
|II18,Tumores (neoplasias) de comportamiento incierto o desconocido,2
|II2,Tumores malignos de los órganos digestivos,2
|II3,Tumores malignos de los órganos respiratorios e intratorácicos,2
|II4,Tumores malignos de los huesos y de los cartílagos articulares,2
|II5,Melanoma y otros tumores malignos de la piel,2
|II6,Tumores malignos de los tejidos mesoteliales y de los tejidos blandos,2
|II7,Tumor maligno de mama,2
|II8,Tumores malignos de los órganos genitales femeninos,2
|II9,Tumores malignos de los órganos genitales masculinos,2
|III1,Anemias nutricionales,3
|III2,Anemias hemolíticas,3
|III3,Anemias aplásticas y otras anemias,3
|III4,"Defectos de la coagulación, púrpura y otras afecciones hemorrágicas",3
|III5,Otras enfermedades de la sangre y de los órganos hematopoyéticos,3
|III6,Ciertos trastornos que afectan el mecanismo de la inmunidad,3
|IV1,Trastornos de la glándula tiroides,4
|IV2,Diabetes mellitus,4
|IV3,Otros trastornos de la regulación de la glucosa y de la secreción interna del páncreas,4
|IV4,Trastornos de otras glándulas endocrinas.,4
|IV5,Desnutrición,4
|IV6,Otras deficiencias nutricionales,4
|IV7,Obesidad y otros tipo de hiperalimentación,4
|IV8,Trastornos metabólicos,4
|IX1,Fiebre reumática aguda,9
|IX10,Otros trastornos y los no especificados del sistema circulatorio,9
|IX2,Enfermedades cardíacas reumáticas crónicas,9
|IX3,Enfermedades hipertensivas,9
|IX4,Enfermedades isquémicas del corazón,9
|IX5,Enfermedad cardiopulmonar y enfermedades de la circulación pulmonar,9
|IX6,Otras formas de enfermedad del corazón,9
|IX7,Enfermedades cerebrovasculares,9
|IX8,"Enfermedades de las arterias, de las arteriales y de los vasos capilares",9
